GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
489412416,SushiGo,3,GAME_OVER,61,0,2,335,SushigoAgentBKP,83.0,38.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
979662955,SushiGo,3,GAME_OVER,60,0,2,336,RandomPlayer,53.0,37.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
-1412473080,SushiGo,3,GAME_OVER,63,0,2,337,RandomPlayer,79.0,40.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-2146388626,SushiGo,3,GAME_OVER,60,0,2,338,RandomPlayer,45.0,50.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
-2147182603,SushiGo,3,GAME_OVER,61,0,2,339,Basic MCTS,25.0,61.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1104832282,SushiGo,3,GAME_OVER,61,0,2,340,Basic MCTS,39.0,70.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-1814248263,SushiGo,3,GAME_OVER,60,0,2,341,Basic MCTS,32.0,71.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1527008370,SushiGo,3,GAME_OVER,60,0,2,342,SushigoAgentBKP,70.0,40.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
1794037300,SushiGo,3,GAME_OVER,61,0,2,343,SushigoAgentBKP,51.0,35.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
-2127906997,SushiGo,3,GAME_OVER,60,0,2,344,SushigoAgentBKP,35.0,52.0,RandomPlayer,2,SushigoAgentBKP,2,1,1,RandomPlayer,RandomPlayer,SushigoAgentBKP,0
-1670148819,SushiGo,3,GAME_OVER,63,0,2,345,Basic MCTS,31.0,76.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-64157796,SushiGo,3,GAME_OVER,60,0,2,346,Basic MCTS,38.0,67.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
1156344643,SushiGo,3,GAME_OVER,62,0,2,347,Basic MCTS,44.0,62.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
